fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
180,HEX0000180,Oceano,Marina,Baja California,6,0.553539879620075,0.0922566466033459,0.089839480817318,0.0935362428426743
181,HEX0000181,Oceano,Marina,Baja California,4,0.371506661176682,0.0928766652941704,0.0916727557778358,0.094129741191864
182,HEX0000182,Oceano,Marina,Baja California,4,0.375583752989769,0.0938959382474422,0.0900868102908134,0.0987816378474236
183,HEX0000183,Oceano,Marina,Baja California,6,0.569998934864998,0.0949998224774996,0.0928620547056198,0.0962669998407364
184,HEX0000184,Oceano,Marina,Baja California,4,0.368452459573746,0.0921131148934364,0.0915079936385155,0.0924706533551216
185,HEX0000185,Oceano,Marina,Baja California,4,0.383013516664505,0.0957533791661263,0.0941483303904533,0.0983073562383652
186,HEX0000186,Oceano,Marina,Baja California,6,0.560110576450825,0.0933517627418041,0.0921827256679535,0.0946842730045319
187,HEX0000187,Oceano,Marina,Baja California,4,0.361441396176815,0.0903603490442038,0.0881687551736832,0.0916754156351089
188,HEX0000188,Oceano,Marina,Baja California,4,0.364323005080223,0.0910807512700558,0.0891480222344398,0.0926164761185646
189,HEX0000189,Oceano,Marina,Baja California,6,0.572665609419346,0.0954442682365576,0.0939951241016388,0.0965724214911461
190,HEX0000190,Oceano,Marina,Baja California,5,0.486512638628483,0.0973025277256966,0.0948162451386452,0.0999148339033127
191,HEX0000191,Oceano,Marina,Baja California,4,0.415542885661125,0.103885721415281,0.102629378437996,0.105561077594757
192,HEX0000192,Oceano,Marina,Baja California,5,0.544729992747307,0.108945998549461,0.10664476454258,0.110746204853058
193,HEX0000193,Oceano,Marina,Baja California,4,0.46510162204504,0.11627540551126,0.112444721162319,0.120579026639462
194,HEX0000194,Oceano,Marina,Baja California,5,0.417706593871117,0.0835413187742233,0.0806511268019676,0.0860877931118011
195,HEX0000195,Oceano,Marina,Baja California,4,0.325888551771641,0.0814721379429102,0.0804809778928757,0.0830981433391571
196,HEX0000196,Oceano,Marina,Baja California,5,0.415366910398006,0.0830733820796013,0.0822868868708611,0.0844257548451424
197,HEX0000197,Oceano,Marina,Baja California,5,0.418912582099438,0.0837825164198875,0.0828638300299644,0.0850165709853172
